"avatarThumbnail","cid","createTime","createTimeISO","diggCount","input","likedByAuthor","pinnedByAuthor","repliesToId","replyCommentTotal","submittedVideoUrl","text","uid","uniqueId","videoWebUrl"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/c560a79538035c8a7a730ff071419d2e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9872d9b0&x-expires=1747476000&x-signature=S68sb0tXMp9LqnbCR7q%2BE%2FspyEA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7498246997305623304","1745821695","2025-04-28T06:28:15.000Z","0","https://vt.tiktok.com/ZShQTRhDB/","false","false",,"0","https://vt.tiktok.com/ZShQTRhDB/","Good..","7232651038695113730","sn2791ka","https://www.tiktok.com/@tribun.jakarta/video/7485643807405427969"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/fe8f6cfdc78adad5443012866c32a28c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0022f410&x-expires=1747476000&x-signature=7vhQbTMEn24Rty9lhufrcHir8ug%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7497846177674658567","1745728373","2025-04-27T04:32:53.000Z","0","https://vt.tiktok.com/ZShQTRhDB/","false","false",,"0","https://vt.tiktok.com/ZShQTRhDB/","Kang Deni the next Presiden🥰🥰🥰👍👍🙏🙏🙏","6956809604064723969","escargot02","https://www.tiktok.com/@tribun.jakarta/video/7485643807405427969"
"https://p16-common-sign-va.tiktokcdn-us.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=545a5e3c&x-expires=1747476000&x-signature=c%2FpsGTxQU2ANArIFurbQo6DGHP0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7497859911238681345","1745731572","2025-04-27T05:26:12.000Z","8","https://vt.tiktok.com/ZShQTRhDB/","false","false",,"0","https://vt.tiktok.com/ZShQTRhDB/","kdm is the best","7466765836565513217","tony62785","https://www.tiktok.com/@tribun.jakarta/video/7485643807405427969"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/9e62ed910d3f97202f349b3b41a50138~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4563004c&x-expires=1747476000&x-signature=GQjb1ltFBePcLmwYGSZjrtS62%2Bo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7498023042413970184","1745769542","2025-04-27T15:59:02.000Z","3754","https://vt.tiktok.com/ZShQTRhDB/","false","false",,"4","https://vt.tiktok.com/ZShQTRhDB/","pasti kalinya berasa lega bgt😭","7359990986066347014","yu.minji5","https://www.tiktok.com/@tribun.jakarta/video/7485643807405427969"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/172792f0f0e4d94cacda916aa7595260~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f21544dd&x-expires=1747476000&x-signature=ZiX8B8I2nk9HqGiBzjN1JV2%2FeGQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7496791385140675335","1745482779","2025-04-24T08:19:39.000Z","14543","https://vt.tiktok.com/ZShQTRhDB/","false","false",,"113","https://vt.tiktok.com/ZShQTRhDB/","orang puluhan tahun ngumpul duit buat beli tanah,terus mereka seenaknya bngun rumah tanpa bayar,dan gak dikenakan denda,setelah digusur seakan akan paling terzolimi🤣🤣","7153117426799248385","zoro15868","https://www.tiktok.com/@tribun.jakarta/video/7485643807405427969"
"https://p16-common-sign-va.tiktokcdn-us.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=545a5e3c&x-expires=1747476000&x-signature=c%2FpsGTxQU2ANArIFurbQo6DGHP0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7485974341059674888","1742964245","2025-03-26T04:44:05.000Z","5219","https://vt.tiktok.com/ZShQTRhDB/","false","false",,"12","https://vt.tiktok.com/ZShQTRhDB/","ini lah hasil kerja nyata bukan omon omon..","7210812703107187739","aden12927","https://www.tiktok.com/@tribun.jakarta/video/7485643807405427969"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/f9d197db9a3eddc4b53b20b87183255c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=120cd1c8&x-expires=1747476000&x-signature=W1P9iqPJ%2BSFtpIPl7x2cJuS08Q4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7498611356611887880","1745906529","2025-04-29T06:02:09.000Z","455","https://vt.tiktok.com/ZShQTRhDB/","false","false",,"4","https://vt.tiktok.com/ZShQTRhDB/","bayangin pejabat se-Indonesia kerjanya berfungsi kek gini semua","6640736930135277570","cheelllyourfav","https://www.tiktok.com/@tribun.jakarta/video/7485643807405427969"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/4c073cb3a61b5411bf76a2b22adf1ce8~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3d12cd09&x-expires=1747476000&x-signature=tdkOjASUP0SMuUGqpHHFdtx2%2FwE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7486085320674853653","1742990092","2025-03-26T11:54:52.000Z","14491","https://vt.tiktok.com/ZShQTRhDB/","false","false",,"36","https://vt.tiktok.com/ZShQTRhDB/","segampang itu ya klo pemimpinnya bener","6910941226657317890","drakipr","https://www.tiktok.com/@tribun.jakarta/video/7485643807405427969"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/2ccbba796b80dff06d3263acce8471e9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ab5b7025&x-expires=1747476000&x-signature=2%2FfcejoOd%2Byt8JCyp%2Bnv4hyOZII%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7497543667251561224","1745657933","2025-04-26T08:58:53.000Z","1418","https://vt.tiktok.com/ZShQTRhDB/","false","false",,"8","https://vt.tiktok.com/ZShQTRhDB/","kalo banjir bilang pemerintahnya g becus. giliran ketemu yg becus kerjanya malah d bilang g bela rakyat. dr semua gubernur kyajnya KDM yg keliatan kerjanya.","7176487470379942917","hiburantiktok.3","https://www.tiktok.com/@tribun.jakarta/video/7485643807405427969"
"https://p16-common-sign-va.tiktokcdn-us.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=545a5e3c&x-expires=1747476000&x-signature=c%2FpsGTxQU2ANArIFurbQo6DGHP0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7497970207824577287","1745757254","2025-04-27T12:34:14.000Z","1453","https://vt.tiktok.com/ZShQTRhDB/","false","false",,"7","https://vt.tiktok.com/ZShQTRhDB/","bukan gak empati tapi orang laen mati2an kerja cari duit buat ngontrak buat nabung beli rumah, yang ini bangun seenaknya","7378079847501923334","nunahanuna","https://www.tiktok.com/@tribun.jakarta/video/7485643807405427969"
